,student_id,teacher_id
0,4.0,301.0
1,6.0,578.0
2,15.0,579.0
3,15.0,580.0
4,15.0,581.0
5,20.0,312.0
6,29.0,4.0
7,29.0,582.0
8,32.0,4.0
9,45.0,584.0
10,56.0,585.0
11,57.0,56.0
12,57.0,587.0
13,60.0,588.0
14,61.0,49.0
15,63.0,590.0
16,70.0,591.0
17,70.0,592.0
18,94.0,593.0
19,109.0,578.0
20,112.0,16.0
21,115.0,57.0
22,115.0,28.0
23,120.0,312.0
24,127.0,595.0
25,156.0,596.0
26,200.0,6.0
27,201.0,16.0
28,216.0,42.0
29,216.0,597.0
30,239.0,598.0
31,264.0,599.0
32,268.0,600.0
33,268.0,601.0
34,286.0,602.0
35,307.0,312.0
36,329.0,603.0
37,329.0,604.0
38,349.0,605.0
39,362.0,93.0
40,362.0,606.0
41,419.0,607.0
42,419.0,608.0
43,457.0,584.0
44,480.0,609.0
45,481.0,610.0
46,496.0,580.0
47,536.0,611.0
48,537.0,612.0
49,541.0,613.0
50,541.0,614.0
51,541.0,615.0
52,604.0,301.0
